,name,address,gd_point_x,gd_point_y,region,dataType
1370,竹福园幼儿园,海曙区环城西路北段68弄76号,121.52473,29.879917,海曙区,幼儿园
1371,祝家桥幼儿园,海曙区集市港镇新河路,121.448598,29.876413,海曙区,幼儿园
1372,芝芽树·启蒙幼学(南塘店),海曙区鄞奉路221-223号南塘金茂府二期,121.540221,29.852736,海曙区,幼儿园
1373,宁波市海曙区格林美语幼儿园,海曙区白云街道前丰街42号,121.519696,29.876392,海曙区,幼儿园
1374,宁波市海曙区古林镇中心幼儿园,海曙区浙江省 宁波市 海曙区 海曙区古林镇馀庆路106号,121.434062,29.837111,海曙区,幼儿园
1375,雅源幼儿园,海曙区万利路,121.499672,29.816311,海曙区,幼儿园
1376,童趣幼儿园(金云街),海曙区金云街13号附近,121.500643,29.844421,海曙区,幼儿园
1377,鄞州区石碶栎社幼儿园,海曙区石碶联丰工业区12号(豪雅集团后面),121.478881,29.801773,海曙区,幼儿园
1378,幼乐园,海曙区晴园宋晴路57号,121.49441,29.877743,海曙区,幼儿园
1379,爱心幼儿园,海曙区,121.471121,29.877041,海曙区,幼儿园
1380,古林镇张家潭幼儿园,海曙区古林镇张家潭村段梅线,121.475398,29.843203,海曙区,幼儿园
1381,海曙区气象路幼儿园,海曙区气象路667号,121.511314,29.860124,海曙区,幼儿园
1382,高桥镇中心幼儿园,海曙区高桥镇高桥路569号,121.469179,29.901826,海曙区,幼儿园
1383,半路庵幼儿园,海曙区秀丰路59号,121.476839,29.892115,海曙区,幼儿园
1384,宁波市海曙区海光幼儿园,海曙区环城西路南段688弄55号,121.522549,29.854855,海曙区,幼儿园
1385,阳光幼儿园(马浦路),海曙区高桥镇马浦路2号,121.4672,29.901624,海曙区,幼儿园
1386,洞桥镇中心幼儿园,海曙区洞桥明苑小区63幢195号,121.412121,29.782072,海曙区,幼儿园
1387,江南幼儿园,海曙区万成路江南绿洲31号,121.496032,29.819315,海曙区,幼儿园
1388,宁波中山艺术幼儿园(分园),海曙区西河街68弄18号,121.5446,29.880607,海曙区,幼儿园
