,name,address,point_x,point_y,specify,dataType
51,申花路幼儿园申花路园区,浙江省杭州市西湖区竞舟北路191,120.09425,30.31303,西湖区,幼儿园
52,杭州市方家塘幼儿园,浙江省杭州市拱墅区浙江省杭州市西湖区,120.09736,30.31442,西湖区,幼儿园
53,杭州市西湖区慧仁家园幼儿园,浙江省杭州市西湖区墩祥街398西南方向198米,120.072,30.33228,西湖区,幼儿园
54,北山幼儿园嘉绿西苑园区,浙江省杭州市西湖区嘉绿苑西39,120.10552,30.28245,西湖区,幼儿园
55,转塘第一幼儿园,浙江省杭州市西湖区梦园街横桥沈合苑停车场内正南方向57米,120.0624,30.16236,西湖区,幼儿园
56,三墩镇中心幼儿园阳光嘉苑园区,浙江省杭州市西湖区周坪路29,120.06511,30.34009,西湖区,幼儿园
57,西湖区小天使幼儿园,浙江省杭州市西湖区双浦镇外张村委旁左侧,120.14808,30.11965,西湖区,幼儿园
58,西湖区闻裕顺学前教育集团闻裕顺幼儿园,浙江省杭州市西湖区里东山弄,120.12491,30.26073,西湖区,幼儿园
59,闻裕顺学前教育集团午山幼儿园,浙江省杭州市西湖区转塘镇丽景路转塘家园商铺东南方向117米,120.08296,30.16674,西湖区,幼儿园
60,文新学前教育集团紫萱幼儿园,浙江省杭州市西湖区紫宣路308东南方向192米,120.0662,30.32944,西湖区,幼儿园
61,新世纪幼儿园,浙江省杭州市西湖区古墩路1105新世纪花苑,120.085917,30.327108,西湖区,幼儿园
62,浙江省教育厅教研室附属小学南区,浙江省杭州市西湖区高技街9正西方向108米,120.11674,30.2871,西湖区,小学
63,莫干山路小学(和苑校区),浙江省杭州市西湖区竞舟北路120号,120.096811,30.306724,西湖区,小学
64,杭州市求是教育集团(浙江大学附属小学),浙江省杭州市西湖区浙大路18号,120.124211,30.26296,西湖区,小学
65,杭州市文三教育集团(总校),浙江省杭州市西湖区上宁巷1号,120.13968,30.27919,西湖区,小学
66,杭州市西湖第一实验学校,浙江省杭州市西湖区转塘街道葛衙庄社区34号,120.05114,30.18495,西湖区,小学
67,转塘小学象山校区,浙江省杭州市西湖区方家畈244号,120.07895,30.15633,西湖区,小学
68,杭州市西湖区教师进修学校附属小学,浙江省杭州市西湖区影业路55,120.12842,30.28127,西湖区,小学
69,杭州市翠苑第一小学(文华校区),浙江省杭州市西湖区竞舟路299,120.09762,30.29288,西湖区,小学
70,杭州市三墩镇长桥小学,浙江省杭州市西湖区双桥村徐家塘,120.03008,30.31627,西湖区,小学
71,文一街小学(政苑校区),浙江省杭州市西湖区政苑小区73幢2号,120.096642,30.299874,西湖区,小学
72,袁浦东江嘴小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.162462,30.112116,西湖区,小学
73,杭州市嘉绿苑小学景汇校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.0628,30.35099,西湖区,小学
74,杭州市行知小学学院校区,浙江省杭州市西湖区行知巷6号,120.12574,30.28669,西湖区,小学
75,西子湖小学九溪校区,浙江省杭州市西湖区之江路40,120.112682,30.188408,西湖区,小学
76,杭州市大禹路小学(大禹路校区),浙江省杭州市西湖区大禹路金兰巷2号,120.078328,30.330801,西湖区,小学
77,杭州市学军小学,浙江省杭州市西湖区求智巷6号,120.13909,30.28423,西湖区,小学
78,杭州市行知小学文二校区,浙江省杭州市西湖区文二路277,120.12633,30.28486,西湖区,小学
79,西湖小学教育集团府苑小学,浙江省杭州市西湖区府苑新村,120.0885,30.27061,西湖区,小学
80,杭州西子实验学校,浙江省杭州市西湖区湖埠村,120.052292,30.129862,西湖区,小学
81,浙江省陶行知研究会实验学校,浙江省杭州市西湖区黄姑山横路70,120.12672,30.27701,西湖区,小学
82,杭州市西湖小学教育集团西湖(紫萱)小学,浙江省杭州市西湖区紫萱路338号正北方向82米,120.06567,30.32966,西湖区,小学
