,name,address,gd_point_x,gd_point_y,region,dataType
0,杭州市西湖区文苑幼儿园(紫荆花路),浙江省杭州市西湖区紫荆花路106号,120.09396938949,30.278772310052,西湖区,幼儿园
1,杭州市和苑幼儿园,杭州市西湖区竞舟北路118号,120.10184712957,30.303260303918,西湖区,幼儿园
2,杭师大幼儿园,杭州市西湖区教工路142号,120.13621599197,30.280903182243,西湖区,幼儿园
3,杭州市西湖区紫荆幼儿园(诚园园区),杭州市西湖区崇信路与紫霞街交叉路口往东北约60米,120.08140217807,30.290386528928,西湖区,幼儿园
4,武林门幼儿园(武林巷),杭州市西湖区武林巷3号,120.15105958685,30.276562826105,西湖区,幼儿园
5,杭州市乐莺幼儿园,杭州市西湖区三墩镇长阳路8号,120.09413409027,30.32492005184,西湖区,幼儿园
6,莲花港幼儿园(新城园区),浙江省杭州市西湖区益乐路100号,120.11470307214,30.283941223111,西湖区,幼儿园
7,杭州市西湖区启蒙幼儿园,杭州市西湖区灯彩街50号,120.08833417484,30.327042430401,西湖区,幼儿园
8,新世纪幼儿园(古墩路店),杭州市西湖区三墩镇古墩路1105号,120.09079736978,30.324798101408,西湖区,幼儿园
9,西点幼儿园,杭州市西湖区竞舟路360号,120.10499561546,30.285113563727,西湖区,幼儿园
10,杭州市西湖区古荡幼儿园,杭州市西湖区古荡东区36幢,120.11810769853,30.274952849592,西湖区,幼儿园
11,山水学前教育集团蝶园幼儿园,杭州市西湖区紫霞街180号,120.06524256792,30.289890661912,西湖区,幼儿园
12,山水学前教育集团山水幼儿园(莲花街),杭州市西湖区天目山路396号山水人家,120.107876616,30.270901589274,西湖区,幼儿园
13,蒋村花园幼儿园,浙江省杭州市西湖区晴川街92号,120.07904360979,30.28430188805,西湖区,幼儿园
14,山水学前教育集团莲花港幼儿园,浙江省杭州市西湖区西斗门路146号,120.11104083104,30.2903829198,西湖区,幼儿园
15,智多星幼儿园(五里堂街),杭州市西湖区吉园街与紫宣路交叉路口往东约120米,120.07537542305,30.317610876927,西湖区,幼儿园
16,大禹路幼儿园,杭州市西湖区荡鱼街与金兰巷交叉路口往西南约60米,120.0804085371,30.332580861351,西湖区,幼儿园
17,三墩镇中心幼儿园,浙江省杭州市西湖区庙前街55号,120.08226893921,30.31992175766,西湖区,幼儿园
18,杭州市西湖区甲来路幼儿园,杭州市西湖区甲来路88号,120.06779071123,30.341555220809,西湖区,幼儿园
19,杭州市西湖区育博幼儿园,浙江省杭州市西湖区紫萱路279号,120.07235617254,30.322012242238,西湖区,幼儿园
20,浙江省省级机关北山幼儿园,浙江省杭州市西湖区保俶路45号,120.15108773228,30.262702425304,西湖区,幼儿园
21,浙江省省级机关保俶幼儿园,杭州市西湖区弥陀寺路3号,120.15059032937,30.26511582242,西湖区,幼儿园
22,杭州市西湖区文新学前教育集团文新幼儿园,杭州市西湖区古墩路580-2号,120.09960628423,30.290186523085,西湖区,幼儿园
23,杭州市西湖区九莲幼儿园,杭州市西湖区黄姑山路与文三路交叉路口往北约60米,120.13357320264,30.277519732936,西湖区,幼儿园
24,浙江省交通运输厅幼儿园,杭州市西湖区保俶路宝石山下四弄18号,120.14893801908,30.262597687206,西湖区,幼儿园
25,杭州西溪伟才幼儿园,浙江省杭州市西湖区留下街道天目山路363号,120.08834638767,30.260191438236,西湖区,幼儿园
26,象山幼儿园(东环路),浙江省杭州市西湖区象山社区杭州绕城高速公路象山幼儿园,120.08554323564,30.153807798927,西湖区,幼儿园
27,杭州市西湖区德泽幼儿园,杭州市西湖区茹家街与庄墩路交叉路口往西北约80米,120.06480417039,30.344585111189,西湖区,幼儿园
28,瑷骊山幼儿园(瑷骊山园区),杭州市西湖区转塘街道霞鸣街269号,120.0660882213,30.143203898579,西湖区,幼儿园
29,杭州市西湖区转塘幼儿园,杭州市西湖区博美路与里街交叉路口往西约70米,120.07418879653,30.160193009846,西湖区,幼儿园
30,浙大紫金港幼儿园,浙江省杭州市西湖区五常港路与蒋墩路交叉路口往西北约50米(紫金西苑东南侧),120.06850616002,30.301338666274,西湖区,幼儿园
31,杭州市西湖区紫荆幼儿园,浙江省杭州市西湖区紫荆花路290号,120.0932882366,30.290381045711,西湖区,幼儿园
32,西湖区金太阳幼儿园,杭州市西湖区老东岳10号,120.09096402518,30.256258955785,西湖区,幼儿园
33,杭州市西湖区小和山学前教育集团嘉苑幼儿园,浙江省杭州市西湖区新安嘉苑11号,120.10472976233,30.269149557306,西湖区,幼儿园
34,杭州云谷幼儿园,浙江省杭州市西湖区桃岭路桃源坞基金小镇5-7号楼,120.10556740928,30.255839779286,西湖区,幼儿园
35,普普幼儿园,浙江省杭州市西湖区振华路300号,120.06979989226,30.313012217217,西湖区,幼儿园
36,紫霞幼儿园,杭州市西湖区崇信路与双龙街交叉路口往西约50米,120.07977686308,30.292054854087,西湖区,幼儿园
37,浙江省级机关府苑幼儿园,浙江省杭州市西湖区紫荆花路1号府苑新村,120.09269281398,30.265968473042,西湖区,幼儿园
38,杭州市西湖区百家园路幼儿园,杭州市西湖区百家园路99号西溪明珠小区旁,120.0593261531,30.247565213987,西湖区,幼儿园
39,杭州市西湖区西溪花园幼儿园,晴川街456号,120.06100459623,30.283916865648,西湖区,幼儿园
40,政苑幼儿园,杭州市西湖区政清路与政苑街交叉路口往北约50米,120.10217312467,30.297049661127,西湖区,幼儿园
41,杭州市西湖区象山幼儿园(云荷廷园区),杭州市西湖区江涵路与珊瑚沙路交叉路口往东约180米,120.10444883742,30.16810258541,西湖区,幼儿园
