,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
115,343.0,404.0,646.0,12168.0,杭州市余杭区良渚运河智星幼儿园,杭州市余杭区良渚新城运河村王家湾46号,120.122104,30.362175,杭州市,余杭区,良渚街道,幼儿园,330110.0,学前教育,,01010000208A11000080AD4B8DD0075E40C06D3480B75C3E40,120.12214686910949,30.362398182084252,"     format_address2
0  浙江省杭州市余杭区良渚街道古运河路"
116,348.0,413.0,661.0,12464.0,宁波市海曙区启文幼儿园,宁波市海曙区粮丰街38号,121.524303,29.854955,宁波市,海曙区,段塘街道,幼儿园,330203.0,学前教育,,01010000208A110000788C2B2E8E615E40408DB454DEDA3D40,121.52421313441496,29.8550150731541,"                format_address2
0  浙江省宁波市海曙区段塘街道启文幼儿园启文幼儿园(粮丰街)"
117,349.0,414.0,664.0,12590.0,义乌市江东街道鲇溪幼儿园,浙江省义乌市江东街道鲇溪村,120.092239,29.306717,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A110000981A683EE7055E4090205C01854E3D40,120.09214471945107,29.306528825842207,"          format_address2
0  浙江省金华市义乌市江东街道鲇溪幼儿园鲶溪新村"
118,350.0,415.0,665.0,12627.0,杭州西湖风景名胜区茅家埠幼儿园,杭州西湖风景名胜区茅家埠村29-1,120.118442,30.240528,杭州市,西湖区,西湖街道,幼儿园,330106.0,学前教育,,01010000208A110000401EC18D94075E40B0C5353E933D3E40,120.11849234328297,30.24040737478143,"                       format_address2
0  浙江省杭州市西湖区西湖街道杭州西湖风景名胜区杭州西湖风景名胜区-茅家埠"
119,355.0,422.0,673.0,12829.0,义乌市江东街道欣欣向荣幼儿园,浙江省义乌市江东街道青岩傅村王祎路18-20号,120.085512,29.268002,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A11000098DA520779055E40404371C79B443D40,120.08567334647407,29.26796376587955,"              format_address2
0  浙江省金华市义乌市江东街道欣欣向荣幼儿园(黎明湖路)"
120,358.0,426.0,678.0,12944.0,义乌市苏溪镇溪北小太阳幼儿园,义乌市苏溪镇溪北村6号,120.160008,29.418308,金华市,义乌市,苏溪镇,幼儿园,330782.0,学前教育,,01010000208A11000048C631923D0A5E40C0A7AB3B166B3D40,120.15993636058619,29.41833816204389,"           format_address2
0  浙江省金华市义乌市苏溪镇刑里线溪北小太阳幼儿园"
121,365.0,434.0,694.0,13181.0,义乌市儿童乐园幼稚园,义乌市江滨中路义乌乐园内,120.068378,29.294727,金华市,义乌市,稠城街道,幼儿园,330782.0,学前教育,,01010000208A11000008711E4E60045E40903F8A3A734B3D40,120.06845975358573,29.29450187027595,"                 format_address2
0  浙江省金华市义乌市稠城街道义乌市儿童乐园幼稚园义乌海洋世界"
122,366.0,435.0,697.0,13280.0,杭州市西湖区华门托儿所,杭州市教工路316号,120.130455,30.293901,杭州市,西湖区,西溪街道,幼儿园,330106.0,学前教育,,01010000208A11000060A6ED5F59085E4000438F183D4B3E40,120.13045933079795,30.293838832275668,"                    format_address2
0  浙江省杭州市西湖区西溪街道沙县速食(教工路)新德雅公寓(教工路)"
123,373.0,450.0,724.0,13785.0,杭州市西湖区百家园路幼儿园,杭州市西湖区百家园路91号,120.0542957,30.24987737,杭州市,西湖区,留下街道,幼儿园,330106.0,学前教育,,01010000208A11000030E7D69479035E4010299CF6F73F3E40,120.05427277555596,30.24977496643028,"              format_address2
0  浙江省杭州市西湖区留下街道西溪明珠幼儿园百家园幼儿园"
124,383.0,463.0,755.0,14220.0,义乌市北苑街道复兴幼儿园,浙江省金华市义乌市北苑街道复兴一区36幢,120.0522056,29.3145008,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A110000E01D535657035E40E090DA1F83503D40,120.05226260720724,29.314491522313226,"          format_address2
0  浙江省金华市义乌市北苑街道复兴幼儿园复兴1区"
125,384.0,465.0,758.0,14285.0,义乌市北苑美洋洋幼儿园,浙江省金华市义乌市北苑街道青莲二区53幢,120.0625641,29.34466303,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A110000D8D9DA0C01045E4080FD19D63B583D40,120.06252725750372,29.34475287602764,"           format_address2
0  浙江省金华市义乌市北苑街道美洋洋幼儿园青莲2区"
