,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
14,1219.0,义乌市后宅街道洪华凯旋幼儿园,后宅街道洪华村,120.0717659,29.35710862,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A110000D0D3CCCF97045E4080B96F786B5B3D40,120.07164,29.35707,金华市义乌市后宅街道洪华新村40幢洪华凯旋幼儿园
15,1380.0,宁波市海曙区横街镇中心幼儿园,浙江省宁波市海曙区横街镇南洋河畔1号,121.3919793,29.85665193,宁波市,海曙区,横街镇,幼儿园,330203.0,学前教育,,01010000208A110000C882663016595E40401C738A4DDB3D40,121.39192,29.85639,宁波市海曙区上阵新村海曙区横街中心幼儿园
16,1392.0,宁波市海曙区石碶乐乐幼儿园,宁波市海曙区石碶街道建庄村万金路杨家30号,121.5026459,29.81606579,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A1100004886C4592B605E40C05114B0E9D03D40,121.50266,29.81615,宁波市海曙区石碶乐乐幼儿园
17,1402.0,宁波市海曙区高桥镇灵云幼儿园,宁波市海曙区高桥镇望童路1108号,121.4767326,29.87940383,宁波市,海曙区,高桥镇,幼儿园,330203.0,学前教育,,01010000208A110000908665C9825E5E40305AEC9B20E13D40,121.476749,29.879219,宁波市海曙区望童路1108灵云幼儿园
18,1460.0,义乌市廿三里街道小白鸽幼儿园,义乌市廿三里街道后畈村一号,120.1639641,29.32739935,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000F0363F637E0A5E40C0818771D0533D40,120.16387,29.32742,金华市义乌市廿三里镇信联街82号小白鸽幼儿园
19,1544.0,宁波市海曙区洞桥镇晨晨幼儿园,宁波市海曙区洞桥镇张家垫村1号,121.4164014,29.76347338,宁波市,海曙区,洞桥镇,幼儿园,330203.0,学前教育,,01010000208A110000189DEF51A65A5E40F02BCAFD72C33D40,121.41653,29.76356,宁波市海曙区张家垫570东北方向86米晨晨幼儿园
20,1589.0,浙江义乌枫叶国际学校,义乌市江东街道塔下洲A3区义乌枫叶国际学校,120.0408104,29.27179893,金华市,义乌市,江东街道,高级中学,330782.0,中等教育,,01010000208A110000086D00A39C025E4010705B9D94453D40,120.0407,29.2719,金华市义乌市塔下州A三区35幢正东方向44米义乌市枫叶国际学校附属学校
21,1682.0,杭州市翠苑中学,西湖区翠苑新村二区37幢,120.1216127,30.29288952,杭州市,西湖区,翠苑街道,初级中学,330106.0,中等教育,,01010000208A11000028829680C8075E40C0EBCECEFA4A3E40,120.12158,30.2928200000001,杭州市西湖区翠苑二区37幢杭州市翠苑中学翠苑校区
22,1698.0,杭州市西湖区政苑幼儿园,杭州市西湖区丰潭路政苑小区73-1,120.09754,30.29928232,杭州市,西湖区,三墩镇,幼儿园,330106.0,学前教育,,01010000208A110000100C37183E065E40508E2DC49D4C3E40,120.09756,30.2992300000001,杭州市西湖区政苑小区73-1政苑幼儿园
23,1778.0,义乌市后宅街道塘下幼儿园,义乌市后宅街道塘下村,120.0109237,29.36474331,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A11000020B836F9B2005E40804B43D15F5D3D40,120.01098,29.3646,金华市义乌市塘下519后宅街道塘下幼儿园
24,1869.0,宁波市海曙区集士港镇祝家桥幼儿园,浙江省宁波市海曙区集士港镇祝家桥村1,121.444102,29.87873349,宁波市,海曙区,集士港镇,幼儿园,330203.0,学前教育,,01010000208A11000080FB972A6C5C5E40204580ADF4E03D40,121.444239,29.878633,宁波市海曙区祝家桥幼儿园
25,1900.0,杭州市西湖区转塘幼儿园,杭州市西湖区转塘街道大诸桥新村1号,120.0697482,30.16215738,杭州市,西湖区,转塘街道,幼儿园,330106.0,学前教育,,01010000208A110000D80B21C176045E40A0B9522583293E40,120.06967,30.16231,杭州市西湖区方家路9号杭州市西湖区转塘幼儿园
