,name,address,gd_point_x,gd_point_y,region,dataType
0,爱嘉幼学托育园,杭州市西湖区山水人家彩云天会馆1层(蚂蚁金服对面),120.108808,30.269882,西湖区,幼儿园
1,莲花港幼儿园新城园区,杭州市西湖区益乐路100号,120.114701,30.284017,西湖区,幼儿园
2,翠苑第三幼儿园,杭州市西湖区翠苑新村三区63号,120.120725,30.290563,西湖区,幼儿园
3,文新学前教育集团金地幼儿园,杭州市西湖区欣然街111号附近,120.069289,30.330682,西湖区,幼儿园
4,蓝天幼儿园(周浦线),杭州市西湖区双浦镇三阳村408号(中共杭州市双浦镇委员会东),120.07489,30.09081,西湖区,幼儿园
5,杭州市西湖区金太阳幼儿园,杭州市西湖区西溪路老东岳10号,120.090999,30.256317,西湖区,幼儿园
6,小桔灯幼儿园,杭州市西湖区西溪路杨家牌楼2号,120.075362,30.239958,西湖区,幼儿园
7,杭州市西湖区西溪花园幼儿园,杭州市西湖区晴川街573号,120.061002,30.283909,西湖区,幼儿园
8,和庄幼儿园,杭州市西湖区天目山路383号,120.072188,30.257188,西湖区,幼儿园
9,杭州市文新幼儿园富城园区,杭州市西湖区庆隆路20号翠苑佳居内,120.124152,30.292765,西湖区,幼儿园
10,西溪明珠幼儿园,杭州市西湖区百家园路(启航国际酒店斜对面),120.059295,30.247573,西湖区,幼儿园
11,浙江大学幼儿园玉泉分园,杭州市西湖区浙大路18浙大求是社区,120.1303,30.262994,西湖区,幼儿园
12,杭州市西湖区文一街幼儿园,杭州市西湖区文一路122号金都城市芯宇7幢,120.136095,30.290533,西湖区,幼儿园
13,杭州市西湖区黄龙和山幼儿园,杭州市西湖区留下街道求和路88号(求是和家园小学对面),120.064372,30.241357,西湖区,幼儿园
14,杭州嘟巴教育,杭州市西湖区三墩镇西行路32号三墩小学附近,120.0815,30.317375,西湖区,幼儿园
15,杭州市西湖区文新自在城幼儿园,杭州市西湖区嘉仁路499西北方向130米,120.072594,30.334313,西湖区,幼儿园
16,午山幼儿园,杭州市西湖区转塘街道丽景路午山社区內,120.087652,30.164385,西湖区,幼儿园
17,嘉绿苑幼儿园,杭州市西湖区丰潭路嘉绿西苑小区39幢,120.110455,30.280192,西湖区,幼儿园
18,西溪花园幼儿园竞舟苑园区,杭州市西湖区晴川街563-575,120.056045,30.283403,西湖区,幼儿园
19,山水学期教育集团蝶园幼儿园,杭州市西湖区文一西路崇义路口西溪蝶园小区内紫霞街180号,120.065259,30.289789,西湖区,幼儿园
20,周浦幼儿园,杭州市西湖区周浦三阳村408号,120.074173,30.092417,西湖区,幼儿园
21,杭州市西湖区和家园幼儿园,杭州市西湖区留下镇杨梅山路305号,120.063653,30.235947,西湖区,幼儿园
22,留下幼儿园(东穆坞分园),杭州市西湖区长深高速外东穆坞村146号,120.061329,30.222017,西湖区,幼儿园
23,杭州市西湖区古荡幼儿园,杭州市西湖区古荡新村东区36幢,120.118124,30.274896,西湖区,幼儿园
24,山水学前教育集团莲花港幼儿园,杭州市西湖区古荡街道西斗门路146号,120.111053,30.290364,西湖区,幼儿园
25,孩盟国际幼托,杭州市西湖区盛龙街西城年华65号,120.099941,30.310003,西湖区,幼儿园
26,Kaiser Nursery卡朗幼托,杭州市西湖区文一路122号城市芯宇2幢103-2,120.137231,30.290181,西湖区,幼儿园
27,希溪谷儿童之家(南都银座园),杭州市西湖区文二西路115号南都银座大厦,120.112015,30.281742,西湖区,幼儿园
28,贝比之家早教幼托中心,杭州市西湖区文三西路29号,120.111733,30.275987,西湖区,幼儿园
29,政苑幼儿园,杭州市西湖区政苑小区73-1号,120.102335,30.296871,西湖区,幼儿园
30,西湖区午山幼儿园瑷骊山园区,杭州市西湖区霞鸣街269号,120.066042,30.143164,西湖区,幼儿园
31,杭州市西湖区翠苑第一幼儿园,杭州市西湖区翠苑一区49号(翠苑一区社区委员会隔壁),120.127799,30.286713,西湖区,幼儿园
32,武林门幼儿园(武林巷),杭州市西湖区马塍路9号,120.148943,30.275802,西湖区,幼儿园
33,杭师大幼儿园,杭州市西湖区教工路142号,120.136045,30.281017,西湖区,幼儿园
34,杭州市西湖区转塘幼儿园,杭州市西湖区大诸桥新村1号,120.074175,30.160195,西湖区,幼儿园
35,嘉苑幼儿园,杭州市西湖区新安嘉苑11号,120.104737,30.269099,西湖区,幼儿园
36,闻裕顺学前教育集团西庐幼儿园,杭州市西湖区五常港路与紫霞街交叉口,120.056486,30.291522,西湖区,幼儿园
37,凯乐幼儿园,杭州市西湖区常陇路10号5号楼,120.08415,30.172649,西湖区,幼儿园
38,杭州市金都中心幼儿园,杭州市西湖区古墩路415号,120.097256,30.285322,西湖区,幼儿园
39,酷特儿幼托,杭州市西湖区古墩路107号,120.101002,30.273864,西湖区,幼儿园
40,杭州市西湖区紫荆幼儿园,杭州市西湖区紫荆花路290号,120.093232,30.290338,西湖区,幼儿园
41,杭州市西湖区智多星幼儿园(五里堂街),杭州市西湖区三墩镇大港桥村,120.075367,30.317541,西湖区,幼儿园
42,武林门幼儿园(易盛大厦西南),杭州市西湖区莫干山路武林巷3号省级机关,120.150949,30.276513,西湖区,幼儿园
43,小和山学前教育集团小和山幼儿园,杭州市西湖区留和路附近,120.015875,30.208924,西湖区,幼儿园
44,浙江大学西溪校区幼儿园,杭州市西湖区天目山路148号浙江大学西溪校区,120.142874,30.274545,西湖区,幼儿园
45,三坝幼儿园金地园区,杭州市西湖区城(池华街西),120.075598,30.333947,西湖区,幼儿园
46,杭州市西湖区育博幼儿园,杭州市西湖区三墩镇紫萱路279号,120.072434,30.321948,西湖区,幼儿园
47,杭州市乐莺幼儿园,杭州市西湖区三墩镇长阳路8号,120.094124,30.324882,西湖区,幼儿园
48,杭州市西湖区启蒙幼儿园,杭州市西湖区灯彩街50号,120.088433,30.326803,西湖区,幼儿园
49,杭州市人民政府机关幼儿园(府新分园),杭州市西湖区文二西路589号府新花园西17幢,120.091114,30.279457,西湖区,幼儿园
50,西湖区申花路幼儿园秀月园区,杭州市西湖区三墩镇祥符南路(秀月家园旁),120.09695,30.321302,西湖区,幼儿园
51,杭州西点幼儿园,杭州市西湖区文一西路149号雅仕苑,120.105006,30.285225,西湖区,幼儿园
52,杭州市西湖区留下幼儿园,杭州市西湖区安乐新村,120.057483,30.240996,西湖区,幼儿园
53,三墩镇中心幼儿园,杭州市西湖区庙前街55号,120.082269,30.319922,西湖区,幼儿园
54,杭州市西湖区甲来路幼儿园,杭州市西湖区甲来路88号,120.06764,30.34176,西湖区,幼儿园
55,山水幼儿园(莲花街),杭州市西湖区莲花街97号,120.107869,30.270898,西湖区,幼儿园
56,新世纪幼儿园(古墩路),杭州市西湖区三墩镇古墩路1105号,120.090694,30.324767,西湖区,幼儿园
57,枫华府第幼儿园,杭州市西湖区华星路6-2号,120.126998,30.279794,西湖区,幼儿园
58,三墩慧仁家园幼儿园,杭州市西湖区嘉仁路与墩祥街交叉路口往北约50米(慧仁家园-南区南侧),120.077587,30.329851,西湖区,幼儿园
59,杭州西点香樟婴幼园,杭州市西湖区竞舟路102号,120.10567,30.278918,西湖区,幼儿园
60,枫华府第幼儿园西溪里园区,杭州市西湖区文一西路崇义路口西溪里小区,120.060945,30.288516,西湖区,幼儿园
61,杭州孝慈旭航幼儿园,杭州市西湖区西溪路799号,120.074531,30.250701,西湖区,幼儿园
62,文新学前教育集团,杭州市西湖区文新街道古墩路580-2号,120.099641,30.290221,西湖区,幼儿园
63,浙大幼教,杭州市西湖区振华路西港白领公寓南侧约120米,120.069859,30.313029,西湖区,幼儿园
64,象山幼儿园(科海路园区),杭州市西湖区燕庐巷与青蓝路交叉路口西南侧(东日晴好),120.09086,30.135859,西湖区,幼儿园
65,杭州云溪幼儿园,杭州市西湖区转塘街道珊瑚沙路61号,120.096456,30.165395,西湖区,幼儿园
66,智慧树,杭州市西湖区紫荆花路紫金庭园梅林苑11幢1号商铺,120.093683,30.272102,西湖区,幼儿园
67,象山幼儿园云荷廷园区,杭州市西湖区江涵路银泰百货(杭州之江店)东侧约210米,120.104586,30.168112,西湖区,幼儿园
68,西湖区翠苑第四幼儿园,杭州市西湖区翠苑新村四区13幢,120.121826,30.286374,西湖区,幼儿园
69,西庐幼儿园小班部,杭州市西湖区双龙街380号西溪里瑾园北对面,120.060236,30.293515,西湖区,幼儿园
70,杭州云谷幼儿园,杭州市西湖区留下街道桃源坞5-7号楼,120.105549,30.255896,西湖区,幼儿园
71,浙大-紫金港幼儿园,杭州市西湖区五常港路与蒋墩路交叉路口往西北约50米,120.068669,30.301337,西湖区,幼儿园
72,普普幼儿园,杭州市西湖区振华路300号,120.069862,30.313049,西湖区,幼儿园
73,青青幼乐园,杭州市西湖区五常港路融创河滨之城雨澜轩商铺,120.060992,30.298999,西湖区,幼儿园
74,东方幼儿园,杭州市西湖区紫荆花路282号,120.092789,30.288049,西湖区,幼儿园
75,杭州市西湖区景汇幼儿园,杭州市西湖区三墩镇景溪北苑汇周街108号,120.066344,30.349924,西湖区,幼儿园
76,之江幼儿园(丽景路园区),杭州市西湖区之新花苑18幢,120.094423,30.156516,西湖区,幼儿园
77,初本幼园(古墩校区),杭州市西湖区文一西路骆家庄498号,120.099146,30.285373,西湖区,幼儿园
78,乐迪幼儿园,杭州市西湖区三墩镇北周坪路137号,120.069298,30.341538,西湖区,幼儿园
79,杭州幼儿师范学院实验幼儿园,杭州市西湖区金兰巷蓝爵白马尊邸东南侧约160米,120.080907,30.33263,西湖区,幼儿园
80,枫华府第幼儿园庆丰园区,杭州市西湖区玉古路117号1,120.128096,30.266723,西湖区,幼儿园
81,杭州市西湖区定山幼儿园,杭州市西湖区双流路35号,120.070204,30.141566,西湖区,幼儿园
82,西湖区天虹幼儿园,杭州市西湖区紫荆花路288号,120.091432,30.312689,西湖区,幼儿园
83,象象部落(金地自在城栖霞居店),"杭州市西湖区城栖霞居5幢103,104室",120.067024,30.329119,西湖区,幼儿园
84,名苑幼托部,杭州市西湖区益乐路45号,120.11632,30.277793,西湖区,幼儿园
85,九莲新村幼儿园,杭州市西湖区文三路522号,120.133457,30.277515,西湖区,幼儿园
86,杭州市西湖区大禹路幼儿园小班部,杭州市西湖区荷风苑11幢(商铺)107附近正东方向100米,120.083803,30.332287,西湖区,幼儿园
87,绕城幼儿园,杭州市西湖区三墩绕城村委边上,120.054895,30.3375,西湖区,幼儿园
88,杭州市西湖区新天地幼儿园,杭州市西湖区三墩镇振华路197号,120.076218,30.314704,西湖区,幼儿园
89,西湖区蓝精灵幼儿园,杭州市西湖区双浦镇轮渡路16号,120.127409,30.121053,西湖区,幼儿园
90,杭州市西湖区紫萱幼儿园,杭州市西湖区紫宣路330号,120.071315,30.327099,西湖区,幼儿园
91,象山幼儿园(东环路),杭州市西湖区象山社区杭州绕城高速公路象山幼儿园,120.085552,30.153774,西湖区,幼儿园
92,杭州市西湖区小天使幼儿园,杭州市西湖区袁家浦村39号,120.125696,30.116861,西湖区,幼儿园
93,袁浦幼儿园小江分园,杭州市西湖区,120.124951,30.12843,西湖区,幼儿园
94,杭州市西湖区回龙幼儿园,杭州市西湖区雅苑小区内,120.103379,30.123914,西湖区,幼儿园
95,文苑幼儿园白荡海园区,杭州市西湖区西溪街道文一路66号白荡海人家,120.143101,30.289694,西湖区,幼儿园
96,杭州黄珑幼儿园,杭州市西湖区文一西路320号高教新村7幢,120.096769,30.287732,西湖区,幼儿园
97,闻裕顺幼儿园,杭州市西湖区里东山弄16号,120.129763,30.258646,西湖区,幼儿园
98,浙江省级机关府苑幼儿园,杭州市西湖区紫荆花路1号府苑新村,120.092963,30.265891,西湖区,幼儿园
99,闻裕顺学前教育集团之江幼儿园,杭州市西湖区文景路,120.101069,30.16427,西湖区,幼儿园
100,浙江大学幼儿园总部,杭州市西湖区天目山路148号浙江大学西溪校区,120.140184,30.273354,西湖区,幼儿园
101,杭州市西湖区周浦幼儿园灵山分园,杭州市西湖区双浦镇周浦三阳村408号,120.039867,30.128822,西湖区,幼儿园
102,汪庄幼儿园,杭州市西湖区南山路62号,120.152802,30.228933,西湖区,幼儿园
103,杭州市西湖区天虹幼儿园水月园区,杭州市西湖区三墩镇温州村,120.092817,30.310479,西湖区,幼儿园
104,文新学前教育集团-文鼎苑幼儿园,杭州市西湖区古墩路635号,120.096769,30.297791,西湖区,幼儿园
105,大大树幼儿园,杭州市西湖区莫干山路493-1,120.144724,30.286281,西湖区,幼儿园
106,杭州市西子湖幼儿园(之江路),杭州市西湖区之江路42-1号,120.118177,30.186366,西湖区,幼儿园
107,浙江省交通运输厅幼儿园,杭州市西湖区保俶路宝石山下四弄18号,120.149039,30.262591,西湖区,幼儿园
108,浙江省级机关北山幼儿园,杭州市西湖区保俶路45号,120.150792,30.262292,西湖区,幼儿园
109,杭州市西湖区文苑幼儿园,杭州市西湖区紫荆花路106号,120.093889,30.278906,西湖区,幼儿园
110,杭州市西湖区大禹路幼儿园,杭州市西湖区,120.080415,30.332536,西湖区,幼儿园
111,杭州市西子湖幼儿园(三台山园区),杭州市西湖区三台山路22号附近,120.133978,30.225709,西湖区,幼儿园
112,杭州市西湖区翠苑第二幼儿园,杭州市西湖区翠苑新村二区11-2号,120.127833,30.28973,西湖区,幼儿园
113,杭州市西湖区申花路幼儿园(申花路园区),杭州市西湖区三墩镇竟舟北路191号,120.098804,30.310447,西湖区,幼儿园
114,西湖区名苑幼儿园青苑园区,杭州市西湖区益乐路45号,120.116374,30.277812,西湖区,幼儿园
115,杭州市西湖区石灰桥幼儿园,杭州市西湖区石灰桥社区11-12号楼之间,120.144896,30.285184,西湖区,幼儿园
116,浙江省省级机关保俶幼儿园,杭州市西湖区弥陀寺路3号,120.150606,30.265106,西湖区,幼儿园
117,九莲幼儿园,杭州市西湖区九莲新村1号,120.1335,30.277547,西湖区,幼儿园
118,文新幼儿园,杭州市西湖区古墩路580-2号文新公园,120.099604,30.290199,西湖区,幼儿园
119,华门幼儿园,杭州市西湖区教工路316号a座1楼,120.135422,30.29168,西湖区,幼儿园
120,澳美绿园婴幼公馆,杭州市西湖区玉古路159号-161号(黄龙体育中心旁、绿园小业主俱乐部内),120.129114,30.265869,西湖区,幼儿园
121,杭州市西湖区紫荆幼儿园诚园园区,杭州市西湖区文一西路588号正北方向40米,120.081397,30.290315,西湖区,幼儿园
122,袁浦幼儿园小江分园,杭州市西湖区袁浦街82号,120.124234,30.114707,西湖区,幼儿园
123,慧之铭幼儿园,杭州市西湖区转塘家园南区光阳大厦二楼,120.08525,30.163346,西湖区,幼儿园
124,西湖区莲花港学前教育集团水晶城幼儿园,杭州市西湖区江涵路与支路二交叉路口往东北约110米,120.105908,30.159656,西湖区,幼儿园
125,杭州市西湖区袁浦幼儿园,杭州市西湖区杭州市西湖区双浦镇兰溪口村450号（袁浦小学西面）,120.119892,30.114565,西湖区,幼儿园
126,艾儿思美式幼儿园(西湖华盛顿园),杭州市西湖区古墩路391号,120.099003,30.283354,西湖区,幼儿园
127,启桢幼儿园(普普园区),杭州市西湖区西园四路西港白领公寓西南侧约90米,120.069482,30.313427,西湖区,幼儿园
128,青春幼儿园,杭州市西湖区,120.061003,30.298988,西湖区,幼儿园
129,杭州市西湖区文溪幼儿园,杭州市西湖区崇仁路杭州市西溪实验学校南侧约250米,120.077772,30.284816,西湖区,幼儿园
130,杭州市西湖区转塘幼儿园中村园区,杭州市西湖区G320与G320辅路交叉口西南方向60米,120.044858,30.146626,西湖区,幼儿园
131,杭州云谷幼儿园,杭州市西湖区,120.034821,30.311864,西湖区,幼儿园
132,妙乐卡梦想幼儿园,杭州市西湖区三墩镇欣然街32号紫金梦想广场4号楼,120.065587,30.327308,西湖区,幼儿园
133,南迪初本幼儿园,杭州市西湖区西溪路537号钱江西溪和景6幢,120.107339,30.264012,西湖区,幼儿园
134,格林早教园,杭州市西湖区紫金港路紫金庭园,120.092751,30.27107,西湖区,幼儿园
135,断桥幼儿园,杭州市西湖区宝石山下二弄19号,120.15108,30.261226,西湖区,幼儿园
136,杭州市西湖区河滨幼儿园,杭州市西湖区五常港路溪云巷6号,120.061456,30.299124,西湖区,幼儿园
137,杭州市西湖区龙坞幼儿园里桐坞园区,杭州市西湖区桐坞东路,120.05328,30.197555,西湖区,幼儿园
138,政苑幼儿园(枫桦东路校区),杭州市西湖区双浦镇滨之澜苑二区1-1幢,120.115169,30.148613,西湖区,幼儿园
139,杭州市西湖区花语城幼儿园,杭州市西湖区贝家街1号,120.064007,30.33135,西湖区,幼儿园
140,丽景路幼儿园,杭州市西湖区之新花苑18幢丽景路,120.095301,30.156835,西湖区,幼儿园
141,初本幼园,杭州市西湖区三墩镇榨河巷6号丰盛九玺8幢商铺,120.068141,30.328142,西湖区,幼儿园
142,杭州市西湖区新蕾幼儿园,杭州市西湖区转塘街道南村225号,120.095145,30.128694,西湖区,幼儿园
143,杭州市西湖区都市阳光幼儿园,杭州市西湖区三墩镇来仁街147号,120.064921,30.338766,西湖区,幼儿园
144,西湖区龙坞幼儿园葛衙庄园区,杭州市西湖区龙坞镇葛衙庄路115号西湖实验学校东侧,120.049843,30.181453,西湖区,幼儿园
145,初本幼园丰盛九玺校区,杭州市西湖区榨河巷22-24号附近,120.068155,30.328175,西湖区,幼儿园
146,文鼎苑幼儿园宝嘉誉府园区,杭州市西湖区西行路62号,120.081658,30.313212,西湖区,幼儿园
147,转塘幼儿园梦园路园区,杭州市西湖区梦园街上泗中学,120.06716,30.160023,西湖区,幼儿园
148,杭州初阳幼儿园,杭州市西湖区双龙街199号金色西溪4号楼,120.067619,30.291244,西湖区,幼儿园
149,解放军联勤保障部队第九〇三医院幼儿园,杭州市西湖区灵隐路14号,120.119729,30.247014,西湖区,幼儿园
150,龙坞幼儿园龙门坎园区,杭州市西湖区龙坞镇龙门坎杨家外里33号,120.034251,30.191059,西湖区,幼儿园
151,杭州市西湖区海鸿幼儿园,杭州市西湖区里鸿巷与联鸿街交叉路口北侧(吉鸿家园西区临秀苑),120.071506,30.344523,西湖区,幼儿园
152,祥符艺术幼儿园长阳园区,杭州市西湖区三墩路418号星程酒店后面,120.0957,30.324157,西湖区,幼儿园
153,大禹路幼儿园阳光嘉苑园区,杭州市西湖区三墩镇周坪路27号,120.069828,30.337624,西湖区,幼儿园
154,小和山幼儿园,杭州市西湖区古墩路新安嘉苑小区11幢,120.104693,30.269195,西湖区,幼儿园
155,袁浦幼儿园外张分园,杭州市西湖区杭州绕城高速,120.160049,30.11286,西湖区,幼儿园
156,浙江大学之江校区幼儿园,杭州市西湖区之江路51号浙江大学之江校区,120.127746,30.193731,西湖区,幼儿园
157,杭州市哆来咪幼儿园,杭州市西湖区古墩路369金田花园18幢哆来咪幼儿园,120.097688,30.278321,西湖区,幼儿园
158,陈经纶体育学校幼儿园,杭州市西湖区曙光路126号,120.137484,30.265571,西湖区,幼儿园
159,金田小区幼儿园,杭州市西湖区西城路五联西苑东北侧约40米,120.097688,30.278321,西湖区,幼儿园
160,茅家埠幼儿园,杭州市西湖区西湖风景名胜区西湖街道上茅家埠29-1号,120.123273,30.238126,西湖区,幼儿园
161,名苑幼儿园(嘉银巷),杭州市西湖区文三路益乐路嘉绿青苑5幢外围旁,120.112861,30.280208,西湖区,幼儿园
162,三墩幼儿园(建设中),杭州市西湖区茹家街,120.065003,30.344678,西湖区,幼儿园
163,杭州绿城育华小学,杭州市西湖区紫金港路208号,120.086338,30.290406,西湖区,小学
164,西湖小学教育集团西湖小学,杭州市西湖区曙光路143号,120.131147,30.253583,西湖区,小学
165,学军小学(求智校区),杭州市西湖区求智巷9号杭州市学军小学(求智巷)附近,120.14426,30.281433,西湖区,小学
166,杭州市竞舟小学,杭州市西湖区竞舟路221号,120.103223,30.284755,西湖区,小学
167,杭州市三墩小学,杭州市西湖区三墩镇振华路11号,120.080448,30.315419,西湖区,小学
168,文苑小学,杭州市西湖区竞舟路111号,120.104575,30.279587,西湖区,小学
169,文一街小学,杭州市西湖区保俶北路88号,120.142503,30.287415,西湖区,小学
170,杭州市嘉绿苑小学,杭州市西湖区益乐路,120.113685,30.278066,西湖区,小学
171,杭州市古荡第一小学,杭州市西湖区益乐路6-1号,120.117034,30.274147,西湖区,小学
172,行知小学,杭州市西湖区学院路行知巷6号,120.130585,30.283874,西湖区,小学
173,杭州市文三街小学,杭州市西湖区上宁巷3号,120.144192,30.276748,西湖区,小学
174,杭州市学军小学紫金港校区,杭州市西湖区萍水西街198号,120.094907,30.301115,西湖区,小学
175,杭州市长桥小学,杭州市西湖区南山路64号,120.153257,30.229072,西湖区,小学
176,杭州市文新小学,杭州市西湖区文三西路491号,120.092795,30.272862,西湖区,小学
177,浙江省教育厅教研室附属小学,杭州市西湖区高技街6,120.121338,30.285839,西湖区,小学
178,省府路小学秋水苑校区,杭州市西湖区丰潭路莲花街108号,120.107351,30.273024,西湖区,小学
179,杭州市西子湖小学,杭州市西湖区西湖街道之江路40号,120.117027,30.186423,西湖区,小学
180,浙江大学附属小学,杭州市西湖区浙大路18浙大求是社区(浙大路)附近,120.128761,30.261016,西湖区,小学
181,杭州市星洲小学,杭州市西湖区蒋村街道紫荆花路288,120.093318,30.289407,西湖区,小学
182,杭州市文一街小学,杭州市西湖区政清路,120.101563,30.297296,西湖区,小学
183,文三教育集团定山小学,杭州市西湖区灵凤街178号,120.071144,30.140748,西湖区,小学
184,求是(和家园)小学,杭州市西湖区杨梅山路261号,120.064598,30.240125,西湖区,小学
185,西湖(府苑)小学,杭州市西湖区紫荆花路1号府苑新村内西湖(府苑)小学附近,120.092953,30.268141,西湖区,小学
186,杭州市大禹路小学,杭州市西湖区金兰巷2,120.083716,30.32857,西湖区,小学
187,杭州市育才教育集团总校,杭州市西湖区黄姑山横路70号,120.131547,30.275168,西湖区,小学
188,求是(之江)二小,杭州市西湖区文景路330号,120.094611,30.16088,西湖区,小学
189,杭州市学军小学之江校区,杭州市西湖区梦园街188,120.06951,30.161319,西湖区,小学
190,浙江大学之江校区小学,杭州市西湖区之江路51号浙江大学之江校区,120.128449,30.193912,西湖区,小学
191,西湖(紫萱)小学,杭州市西湖区墩祥路与紫萱路交叉口西北150米,120.06994,30.327071,西湖区,小学
192,杭州市行知小学(文二校区),杭州市西湖区文二路281号,120.130838,30.282298,西湖区,小学
193,杭州市周浦小学,杭州市西湖区双浦镇周浦周家埭村408号,120.073319,30.099839,西湖区,小学
194,袁浦小学,杭州市西湖区双浦镇兰溪口1号,120.12108,30.114187,西湖区,小学
195,杭州市转塘小学(象山校区),杭州市西湖区杜家浦路,120.083208,30.154264,西湖区,小学
196,浙江外国语学院附属实验学校,杭州市西湖区文新街道文二西路698号,120.087858,30.282102,西湖区,小学
197,浙江省教育技术中心实验小学,杭州市西湖区益乐路6-1号,120.116531,30.274043,西湖区,小学
198,浙江外国语学院附属实验小学,杭州市西湖区,120.054254,30.239262,西湖区,小学
199,杭州市大禹路小学甲来路校区,杭州市西湖区甲来路86号,120.067571,30.33959,西湖区,小学
200,翠苑第一小学(翠苑校区),杭州市西湖区文一路375号,120.126909,30.28741,西湖区,小学
201,杭州市文三教育集团文理小学,杭州市西湖区金渡北路与公平路交汇处,120.073406,30.333217,西湖区,小学
202,杭州市育才教育集团文溪小学,杭州市西湖区凌波路8号,120.055868,30.28002,西湖区,小学
203,之江外语实验学校,杭州市西湖区文一西路天河西苑102号,120.105562,30.290625,西湖区,小学
204,杭州市西子湖小学(茅家埠校区),杭州市西湖区龙井路76号,120.123142,30.23719,西湖区,小学
205,莫干山路小学教育集团(和苑校区),杭州市西湖区竞舟北路附近,120.101924,30.304247,西湖区,小学
206,杭州市翠苑第一小学文华校区,杭州市西湖区竞舟路299号,120.102003,30.290753,西湖区,小学
207,杭州市文一街小学秀水校区,杭州市西湖区秀里街306号,120.096176,30.322115,西湖区,小学
208,杭州市政苑小学,杭州市西湖区三墩镇丰潭路207号政苑小区73,120.101324,30.298006,西湖区,小学
209,求是(西溪)小学,杭州市西湖区文一西路578号,120.076992,30.287833,西湖区,小学
210,杭州市竞舟第二小学,杭州市西湖区五常港路溪云支巷,120.061021,30.299721,西湖区,小学
211,杭州市九莲小学,杭州市西湖区,120.132825,30.279032,西湖区,小学
212,杭州市转塘小学回龙校区,杭州市西湖区转塘街道回龙村,120.097605,30.122206,西湖区,小学
213,杭州文理第二小学,杭州市西湖区金庄路与联鸿街交叉路口往东北约240米,120.075671,30.343373,西湖区,小学
214,杭州市三墩小学双桥校区,杭州市西湖区祥余线三墩小学山桥校区对面,120.040664,30.329902,西湖区,小学
215,杭州市翠苑第二小学,杭州市西湖区翠苑三区165号,120.12131,30.29112,西湖区,小学
216,杭州市紫荆花学校,杭州市西湖区竞舟路222号,120.104718,30.283954,西湖区,小学
217,杭州市保俶塔实验学校(小学部),杭州市西湖区体育场路金祝新村28号,120.149559,30.270504,西湖区,小学
218,杭州市西湖小学教育集团,杭州市西湖区,120.070518,30.327312,西湖区,小学
219,求是(竞舟)小学,杭州市西湖区竞舟路221号,120.103252,30.284745,西湖区,小学
220,杭州市学军小学教育集团云栖小学(建设中),杭州市西湖区,120.114345,30.142321,西湖区,小学
221,浙江外国语学院第一附属小学,杭州市西湖区文三路140号,120.144227,30.277052,西湖区,小学
222,黄姑山路小学,杭州市西湖区黄姑山横路70号育才教育集团,120.131315,30.274639,西湖区,小学
