,name,address,point_x,point_y,specify,dataType
50,杭州市西湖区新蕾幼儿园,浙江省杭州市西湖区转塘街道南村225号,120.09382,30.12551,西湖区,幼儿园
51,龙坞幼儿园,浙江省杭州市西湖区葛衙庄30,120.05155,30.18555,西湖区,幼儿园
52,武林门幼儿园西区,浙江省杭州市西湖区马塍路9号,120.14405,30.27805,西湖区,幼儿园
53,西湖区蓝精灵幼儿园,浙江省杭州市西湖区轮渡路16号,120.12284,30.12334,西湖区,幼儿园
54,名苑学前教育集团小和山幼儿园,浙江省杭州市西湖区留和路568号西北方向121米,120.01102,30.21165,西湖区,幼儿园
55,学院路幼儿园,浙江省杭州市西湖区笃行巷36,120.12528,30.295,西湖区,幼儿园
56,杭州市西湖区文新学前教育集团自在城幼儿园,浙江省杭州市西湖区嘉仁路499东南方向134米,120.06758,30.33653,西湖区,幼儿园
57,浙师大杭幼师院附属幼儿园,浙江省杭州市西湖区文二路125号杭州幼儿师范学院,120.13392,30.28517,西湖区,幼儿园
58,浙江省级机关府苑幼儿园,浙江省杭州市西湖区府苑新村,120.088,30.26803,西湖区,幼儿园
59,象山幼儿园,浙江省杭州市西湖区东环路与转之路交叉口西南100米,120.08104,30.1559,西湖区,幼儿园
60,东方幼儿园,浙江省杭州市西湖区紫荆花路282,120.0878,30.29034,西湖区,幼儿园
61,浙江幼师幼儿园,浙江省杭州市西湖区保俶北路92-1,120.13654,30.28827,西湖区,幼儿园
62,杭州市西子湖幼儿园(三台山园区),浙江省杭州市西湖区三台云舍12-1,120.129,30.22764,西湖区,幼儿园
63,翠苑第二幼儿园,浙江省杭州市西湖区翠苑新村二区11-2,120.12298,30.292,西湖区,幼儿园
64,三墩华联幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.02899,30.34829,西湖区,幼儿园
65,杭州市西湖区新天地幼儿园,浙江省杭州市西湖区振华路197,120.071788,30.317091,西湖区,幼儿园
66,周浦幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.069728,30.094904,西湖区,幼儿园
67,和马幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.019889,30.215109,西湖区,幼儿园
68,杭州市西湖区物华幼儿园,浙江省杭州市西湖区余杭塘路515号正北方向121米,120.10455,30.293838,西湖区,幼儿园
69,留下幼儿园东穆坞分园,浙江省杭州市西湖区留泗路东穆坞,120.05648,30.2244,西湖区,幼儿园
70,杭州市西湖区大禹路幼儿园同仁园区,浙江省杭州市西湖区灯彩街212正北方向170米,120.07798,30.33036,西湖区,幼儿园
71,杭州市西湖区博爱幼儿园,浙江省杭州市西湖区花牌楼144号,120.05234,30.2282,西湖区,幼儿园
72,浙江省交通运输厅幼儿园,浙江省杭州市西湖区宝石山下四弄18号,120.14466,30.26489,西湖区,幼儿园
73,杭州市·西湖区名苑学前教育集团黄龙和山幼儿园,浙江省杭州市西湖区杨梅山路261正南方向148米,120.0596,30.24375,西湖区,幼儿园
74,杭州市和苑幼儿园,浙江省杭州市西湖区竞舟北路118,120.0968,30.3055,西湖区,幼儿园
75,杭州市西湖区留下幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.05283,30.24365,西湖区,幼儿园
76,杭州市乐莺幼儿园,浙江省杭州市西湖区长阳路93正西方向100米,120.0896,30.32723,西湖区,幼儿园
77,武林门幼儿园,浙江省杭州市西湖区武林巷3,120.1464,30.27866,西湖区,幼儿园
78,杭州市西湖区育博幼儿园,浙江省杭州市西湖区汇禾领府东10,120.06762,30.32434,西湖区,幼儿园
79,绕城幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.0499,30.33993,西湖区,幼儿园
80,杭州市西子湖幼儿园,浙江省杭州市西湖区之江路42-1,120.11337,30.18873,西湖区,幼儿园
81,宝贝1+1幼儿园,浙江省杭州市西湖区方家苑商-063西北方向53米,120.06621,30.16378,西湖区,幼儿园
82,祥符艺术幼儿园长阳园区,浙江省杭州市西湖区三墩路416正南方向39米,120.09088,30.3265,西湖区,幼儿园
83,西湖区莲花港学前教育集团莲花港幼儿园,浙江省杭州市西湖区西斗门路146,120.1062,30.29244,西湖区,幼儿园
84,袁浦幼儿园求知分园,浙江省杭州市西湖区浙江省杭州市西湖区,120.0985,30.11405,西湖区,幼儿园
85,天虹幼儿园水月园区,浙江省杭州市西湖区城北商贸园34幢,120.08805,30.31284,西湖区,幼儿园
86,山水学前教育集团山水幼儿园,浙江省杭州市西湖区天目山路396山水人家,120.102933,30.272904,西湖区,幼儿园
