,name,address,point_x,point_y,specify,dataType
0,杭州市西湖区大大树幼儿园,莫干山路493-1,120.13969,30.28846,西湖区,幼儿园
1,西湖区大樟树幼儿园,浙江省杭州市西湖区,120.08873,30.1015,西湖区,幼儿园
2,西湖区莲花港学前教育集团新城幼儿园,益乐路100,120.10951,30.28623,西湖区,幼儿园
3,杭州市西湖区西溪花园幼儿园都市阳光园区,来仁路76东北方向36米,120.06002,30.3412,西湖区,幼儿园
4,唐老鸭幼儿园,三墩镇马家塘20号,120.04115,30.31275,西湖区,幼儿园
5,杭州市西湖区文苑幼儿园登新园区,登云圩路62,120.08328,30.28143,西湖区,幼儿园
6,西湖区蒋村花园幼儿园,晴川街92,120.07453,30.28643,西湖区,幼儿园
7,西湖区百灵幼儿园,文星路6,120.08258,30.3247,西湖区,幼儿园
8,杭州市西湖区文新学前班教育集团富城幼儿园,庆隆路9东北方向90米,120.11928,30.29492,西湖区,幼儿园
9,杭州市西湖区紫荆幼儿园诚园园区,蒋村西溪人家1幢西北方向183米,120.07651,30.2927,西湖区,幼儿园
10,杭州凯乐幼儿园,常陇路10号5号楼,120.07951,30.17489,西湖区,幼儿园
11,孝慈水木清华幼儿园,西湖小和山高教区水木清华苑,120.013828,30.221,西湖区,幼儿园
12,杭州市西湖区小和山学前教育集团嘉苑幼儿园,新安嘉苑11,120.09992,30.27145,西湖区,幼儿园
13,杭州市人民政府机关幼儿园府新分园,文二西路589府新花园,120.08616,30.28153,西湖区,幼儿园
14,文苑学前教育集团文一街幼儿园,教工路250号西南方向139米,120.1314,30.29249,西湖区,幼儿园
15,杭州市西湖区翠苑第三幼儿园,翠苑新村三区63号,120.116281,30.292548,西湖区,幼儿园
16,大禹路幼儿园,颐景园曲水苑对面大禹路和大公路交叉口,120.07606,30.33481,西湖区,幼儿园
17,杭州市西湖区文新绿城育华幼儿园,文一西路563,120.08645,30.2888,西湖区,幼儿园
18,西点幼儿园,文一西路149号雅仕苑,120.10017,30.28759,西湖区,幼儿园
19,枫华府第幼儿园西溪里园区,浙江省杭州市西湖区,120.05601,30.29084,西湖区,幼儿园
20,沁雅幼儿园,文三西路111沁雅花园,120.100701,30.276794,西湖区,幼儿园
21,杭州市西湖区小和山学前教育集团小和山幼儿园,留和路568正西方向180米,120.011409,30.211286,西湖区,幼儿园
22,杭州市西湖区文苑幼儿园,紫荆花路106号,120.08922,30.28109,西湖区,幼儿园
23,三墩镇中心幼儿园甲来路园区,甲来路106东北方向106米,120.06305,30.34382,西湖区,幼儿园
24,杭州市西湖区文鼎苑幼儿园,古墩路635,120.09203,30.29989,西湖区,幼儿园
25,新星幼儿园,新星小区23幢-1,120.08196,30.3256,西湖区,幼儿园
26,山水学前教育集团蝶园幼儿园,紫霞街180,120.060129,30.292298,西湖区,幼儿园
27,名苑学前教育集团小和山幼儿园,留和路568号西北方向121米,120.01102,30.21165,西湖区,幼儿园
28,杭州市西湖区定山幼儿园,霞鸣街169东北方向104米,120.06567,30.14365,西湖区,幼儿园
29,西湖区蓝精灵幼儿园,轮渡路16号,120.12284,30.12334,西湖区,幼儿园
30,政苑幼儿园,政苑小区73-1,120.09756,30.29923,西湖区,幼儿园
31,杭州市西湖区红黄蓝幼儿园,西园七路3号正东方向26米,120.05569,30.316412,西湖区,幼儿园
32,茅家埠幼儿园,上茅家埠29-1,120.11854,30.24036,西湖区,幼儿园
33,西湖区小天使幼儿园,袁浦街34号,120.12125,30.11899,西湖区,幼儿园
34,闻裕顺学前教育集团西庐幼儿园,紫霞街271东南方向95米,120.05162,30.29385,西湖区,幼儿园
35,杭州市西湖区转塘幼儿园,方家路9号,120.06967,30.16231,西湖区,幼儿园
36,西湖区袁浦幼儿园,袁浦街82号,120.11958,30.11693,西湖区,幼儿园
37,杭州市西湖区新蕾幼儿园,转塘街道南村225号,120.09382,30.12551,西湖区,幼儿园
38,陈经纶体育学校幼儿园,曙光路126号,120.13362,30.26726,西湖区,幼儿园
39,闻裕顺幼儿园塘北园区,政苑小区73-1,120.097565,30.299235,西湖区,幼儿园
40,文新学前教育集团文新幼儿园,古墩路580-2,120.0948,30.2924,西湖区,幼儿园
41,西湖区申花路幼儿园秀月园区,美林湾城市公寓绿岸苑1幢1-1附近东北方向152米,120.09206,30.32341,西湖区,幼儿园
42,浙江省级机关保俶幼儿园,弥陀寺路3,120.14556,30.26739,西湖区,幼儿园
43,西湖区周浦幼儿园灵山分校,浙江省杭州市西湖区,120.030197,30.13071,西湖区,幼儿园
44,杭师大幼儿园,教工路142号,120.13216,30.28353,西湖区,幼儿园
45,西湖区花牌楼幼儿园,花牌楼151-1,120.05236,30.22938,西湖区,幼儿园
46,浙大紫金港幼儿园,五常港路469正西方向145米,120.06369,30.30376,西湖区,幼儿园
47,西湖区龙坞幼儿园叶埠桥园区,转塘街道龙坞叶埠桥老社区,120.06361,30.1785,西湖区,幼儿园
48,大风车幼儿园,高教新村7幢,120.09195,30.28993,西湖区,幼儿园
49,杭州市西湖区紫荆幼儿园,紫荆花路290,120.08795,30.29264,西湖区,幼儿园
50,普普幼儿园,振华路200号瑞鼎大厦斜对面西北方向100米,120.065637,30.315669,西湖区,幼儿园
51,武林门幼儿园西区,马塍路9号,120.14405,30.27805,西湖区,幼儿园
52,龙坞幼儿园,葛衙庄30,120.05155,30.18555,西湖区,幼儿园
53,西湖区天虹幼儿园天虹园区,紫荆花路288,120.08676,30.314764,西湖区,幼儿园
54,学院路幼儿园,笃行巷36,120.12528,30.295,西湖区,幼儿园
55,杭州市西湖区景汇幼儿园,汇周街108,120.0614,30.352,西湖区,幼儿园
56,留下幼儿园东穆坞分园,留泗路东穆坞,120.05648,30.2244,西湖区,幼儿园
57,杭州市乐莺幼儿园,长阳路93正西方向100米,120.0896,30.32723,西湖区,幼儿园
58,袁浦幼儿园求知分园,浙江省杭州市西湖区,120.0985,30.11405,西湖区,幼儿园
59,西湖区莲花港学前教育集团莲花港幼儿园,西斗门路146,120.1062,30.29244,西湖区,幼儿园
60,东方幼儿园,紫荆花路282,120.0878,30.29034,西湖区,幼儿园
61,绕城幼儿园,浙江省杭州市西湖区,120.0499,30.33993,西湖区,幼儿园
62,杭州市西子湖幼儿园,之江路42-1,120.11337,30.18873,西湖区,幼儿园
63,杭州市西湖区留下幼儿园,浙江省杭州市西湖区,120.05283,30.24365,西湖区,幼儿园
64,翠苑第二幼儿园,翠苑新村二区11-2,120.12298,30.292,西湖区,幼儿园
65,杭州市西湖区文新学前教育集团自在城幼儿园,嘉仁路499东南方向134米,120.06758,30.33653,西湖区,幼儿园
66,杭州市西湖区博爱幼儿园,花牌楼144号,120.05234,30.2282,西湖区,幼儿园
67,浙江幼师幼儿园,保俶北路92-1,120.13654,30.28827,西湖区,幼儿园
68,杭州市·西湖区名苑学前教育集团黄龙和山幼儿园,杨梅山路261正南方向148米,120.0596,30.24375,西湖区,幼儿园
69,浙师大杭幼师院附属幼儿园,文二路125号杭州幼儿师范学院,120.13392,30.28517,西湖区,幼儿园
70,周浦幼儿园,浙江省杭州市西湖区,120.069728,30.094904,西湖区,幼儿园
71,浙江省级机关府苑幼儿园,府苑新村,120.088,30.26803,西湖区,幼儿园
72,和马幼儿园,浙江省杭州市西湖区,120.019889,30.215109,西湖区,幼儿园
73,杭州市西湖区新天地幼儿园,振华路197,120.071788,30.317091,西湖区,幼儿园
74,武林门幼儿园,武林巷3,120.1464,30.27866,西湖区,幼儿园
75,浙江省交通运输厅幼儿园,宝石山下四弄18号,120.14466,30.26489,西湖区,幼儿园
76,杭州市西湖区大禹路幼儿园同仁园区,灯彩街212正北方向170米,120.07798,30.33036,西湖区,幼儿园
77,杭州市西湖区物华幼儿园,余杭塘路515号正北方向121米,120.10455,30.293838,西湖区,幼儿园
78,象山幼儿园,东环路与转之路交叉口西南100米,120.08104,30.1559,西湖区,幼儿园
79,三墩华联幼儿园,浙江省杭州市西湖区,120.02899,30.34829,西湖区,幼儿园
80,杭州市和苑幼儿园,竞舟北路118,120.0968,30.3055,西湖区,幼儿园
81,宝贝1+1幼儿园,方家苑商-063西北方向53米,120.06621,30.16378,西湖区,幼儿园
82,杭州市西子湖幼儿园(三台山园区),三台云舍12-1,120.129,30.22764,西湖区,幼儿园
83,祥符艺术幼儿园长阳园区,三墩路416正南方向39米,120.09088,30.3265,西湖区,幼儿园
84,山水学前教育集团山水幼儿园,天目山路396山水人家,120.102933,30.272904,西湖区,幼儿园
85,杭州市西湖区育博幼儿园,汇禾领府东10,120.06762,30.32434,西湖区,幼儿园
86,天虹幼儿园水月园区,城北商贸园34幢,120.08805,30.31284,西湖区,幼儿园
87,杭州市西湖区智多星幼儿园,振华路245正东方向20米,120.07042,30.31973,西湖区,幼儿园
88,小桔灯幼儿园,杨家牌楼2号,120.07032,30.24229,西湖区,幼儿园
89,杭州市西湖区海鸿幼儿园,临秀苑底商9,120.06674,30.34656,西湖区,幼儿园
90,白荡海幼儿园,文一路66,120.13841,30.29204,西湖区,幼儿园
91,转塘第二幼儿园,方家苑商002东北方向120米,120.06894,30.1649,西湖区,幼儿园
92,枫华府第幼儿园庆丰园区,玉古路165-1,120.12316,30.26905,西湖区,幼儿园
93,杭州市西湖区金太阳幼儿园,西溪路643正北方向145米,120.08625,30.25829,西湖区,幼儿园
94,杭州市西湖区三坝幼儿园金地园区,厚仁路369号三墩新天地商业中心13幢正东方向155米,120.07061,30.33626,西湖区,幼儿园
95,杭州市西湖区石灰桥幼儿园,莫干山路491号西南方向150米,120.1401,30.28748,西湖区,幼儿园
96,申花路幼儿园申花路园区,竞舟北路191,120.09425,30.31303,西湖区,幼儿园
97,杭州市方家塘幼儿园,浙江省杭州市西湖区,120.09736,30.31442,西湖区,幼儿园
98,回龙幼儿园,转塘镇南村正南方向110米,120.098436,30.126068,西湖区,幼儿园
99,三墩镇中心幼儿园,庙前街55,120.07765,30.32218,西湖区,幼儿园
100,杭州市西湖区慧仁家园幼儿园,墩祥街398西南方向198米,120.072,30.33228,西湖区,幼儿园
101,北山幼儿园嘉绿西苑园区,嘉绿苑西39,120.10552,30.28245,西湖区,幼儿园
102,转塘第一幼儿园,梦园街横桥沈合苑停车场内正南方向57米,120.0624,30.16236,西湖区,幼儿园
103,三墩镇中心幼儿园阳光嘉苑园区,周坪路29,120.06511,30.34009,西湖区,幼儿园
104,浙江大学幼儿园玉泉分园,浙大路18浙大求是社区,120.125354,30.264991,西湖区,幼儿园
105,翠苑第一幼儿园,翠苑新村一区49,120.12303,30.28871,西湖区,幼儿园
106,西湖区小天使幼儿园,双浦镇外张村委旁左侧,120.14808,30.11965,西湖区,幼儿园
107,名苑学前教育集团和家园幼儿园,留下镇杨梅山路305号,120.05874,30.238,西湖区,幼儿园
108,浙江大学西溪幼儿园,天目山路148号浙江大学西溪校区,120.13814,30.27681,西湖区,幼儿园
109,西湖区闻裕顺学前教育集团闻裕顺幼儿园,里东山弄,120.12491,30.26073,西湖区,幼儿园
110,浙江省级机关北山幼儿园,保俶路45,120.14616,30.26496,西湖区,幼儿园
111,杭州市西湖区古荡幼儿园,古荡东区36幢,120.11304,30.27719,西湖区,幼儿园
112,杭州市金都中心幼儿园,古墩路415,120.09263,30.28757,西湖区,幼儿园
113,枫华府第幼儿园,华星路6-2,120.12213,30.28204,西湖区,幼儿园
114,文新学前教育集团金地幼儿园,欣然街88东南方向96米,120.06452,30.33291,西湖区,幼儿园
115,杭州市西湖区翠苑第四幼儿园,浙江省杭州市西湖区,120.11707,30.28873,西湖区,幼儿园
116,西溪花园幼儿园,晴川街与崇义路交叉路口白荻苑内,120.0558,30.28618,西湖区,幼儿园
117,杭州市西湖区启蒙幼儿园,灯彩街50,120.08349,30.32901,西湖区,幼儿园
118,闻裕顺学前教育集团午山幼儿园,转塘镇丽景路转塘家园商铺东南方向117米,120.08296,30.16674,西湖区,幼儿园
119,文新学前教育集团紫萱幼儿园,紫宣路308东南方向192米,120.0662,30.32944,西湖区,幼儿园
120,杭州市西湖区九莲幼儿园,九莲新村1号,120.12879,30.27989,西湖区,幼儿园
121,西溪花园幼儿园竞舟苑园区,晴川街571,120.05138,30.28575,西湖区,幼儿园
122,闻裕顺学前教育集团之江幼儿园,枫桦路1号珊瑚沙家园,120.09626,30.16656,西湖区,幼儿园
123,新世纪幼儿园,古墩路1105新世纪花苑,120.085917,30.327108,西湖区,幼儿园
124,浙江省教育厅教研室附属小学南区,高技街9正西方向108米,120.11674,30.2871,西湖区,小学
125,莫干山路小学(和苑校区),竞舟北路120号,120.096811,30.306724,西湖区,小学
126,杭州市求是教育集团(浙江大学附属小学),浙大路18号,120.124211,30.26296,西湖区,小学
127,杭州市文三街小学,浙江省杭州市西湖区,120.13968,30.27919,西湖区,小学
128,转塘小学(凌家桥校区),凌家桥,120.075945,30.139296,西湖区,小学
129,杭州市大禹路小学甲来路校区,甲来路86,120.06224,30.34223,西湖区,小学
130,杭州市文三教育集团九莲小学,影业路55,120.12842,30.28127,西湖区,小学
